id,title,status,loc.0,date,time,mins,desc,tags.0,tags.1,tags.2,people.0.id,people.0.name,people.1.id,people.1.name,people.2.id,people.2.name,people.3.id,people.3.name,people.4.id,people.4.name,140
2,Klingon science through the lens of language,,tlhIngan rlvSo' (Intl Boardroom),2017-11-24,14:00,60,"We can explore Klingon science and technology (as seen on TV!) by looking at the language that describes it. We will use the vocabulary of John Ford's Klingonaase (""The Final Reflection"") and Marc Okrand's tlhIngan Hol as a guide. We will compare and contrast it with other fictional Star Trek technologies, and with present-day reality.",Discussion,Klingon,STEM,1,Alan Anderson,,,,,,,,,
13,"Plus Size Cosplay - No Limits, No Restrictions",,Guinan's Place (Brickyard),2017-11-24,14:00,60,"I'll be going over some of the common misconceptions about ""appropriate"" body types to cosplay. I'll be touching on the intersectionality of the body positive movement and cosplay. I'll also be highlighting some of the major plus size cosplayers out there. There will be a brief Q&A at the end",Cosplay,,,30,Keeley Shoup,,,,,,,,,
3,Videos,,United Federation for Science (GB-6),2017-11-24,14:00,180,Science videos for all ages!,Presentation,,,59,March For Science Indianapolis,,,,,,,,,
1,The KAG Podcast: What the baQa' are we trying to do?,,tlhIngan rlvSo' (Intl Boardroom),2017-11-24,14:00,300,"General discussion of the KAG podcast. What we have done, what we plan to do and what do you want us to talk about?",Podcast,Klingon,,25,John Lars Shoberg,,,,,,,,,
5,Getting Started in Cosplay,,Briefing Room (DR-2),2017-11-24,15:00,60,Want to jump in to the world of cosplay? Learn from a professional how to get started!,Cosplay,,,37,Michelle Allen,,,,,,,,,
6,Honorable Klingon Episodes and Moments,,tlhIngan rlvSo' (Intl Boardroom),2017-11-24,15:00,60,"Klingon fans breakdown their favorite Klingon episodes, Klingon characters, and Klingon show moments!",Discussion,Klingon,,23,Jen Usellis,,,,,,,,,
113,Happy Unbirthday Tea Party,,Observation Lounge (Golden Preconvene),2017-11-24,15:00,120,"It's a very merry unbirthday for all of Starbase Indy! Give yourself some good advice and join Kassa for a bit of tea, cocoa, or coffee and a snack. Meet a new friend. Reconnect with old acquaintances. Immerse yourself in nonsense. Score an unbirthday present by answering science and science-fiction based trivia, or just hang out with a group of eclectic folks just like you (or totally different from you.) Can't make it for the full event but want to nosh a tiny bit? That's fine. Come when you can and as you are. Everyone is welcome! ",Mingle,,,27,Kassandra Mariano,,,,,,,,,
4,Let's Play Scythe!,,Observation Lounge (Golden Preconvene),2017-11-24,15:00,180,"Scythe is a board game set in an alternate-history 1920s period. It is a time of farming and war, broken hearts and rusted gears, innovation and valor. In Scythe, each player represents a fallen leader attempting to restore their honor and lead their faction to power in Eastern Europa. Players conquer territory, enlist new recruits, reap resources, gain villagers, build structures, and activate monstrous mechs. We're looking for 3-5 players to join us in a game of Scythe (https://stonemaiergames.com/games/scythe/). We can teach you to play it, but if you're already familiar, all the better! We will be using the ""Invaders From Afar"" expansion.",Gaming,,,10,Chuck Warren,,,,,,,,,
7,Kate's Take Live Podcast of Star Trek 3: The Search for Spock,,Astrophysics (FS-D),2017-11-24,16:00,60,"Kate's Take will once again record live their journey into Star Trek movies with The Search for Spock. Your host Kate Chaplin is joined by her Trekkie husband, Josh as they find the universal messages and lessons in the Star Trek movies. The show will be recorded live (video & audio), have a Q&A and be on iTunes, You Tube and most streaming services. Kate's Take is a 5-time award-winning podcast presented by Gal's Guide to the Galaxy.",Podcast,,,28,Kate Chaplin,,,,,,,,,
8,Evolution in Star Trek: Why are There so Many Humanoid Species?,,Guinan's Place (Brickyard),2017-11-24,16:00,60,"Most aliens we see in Trek are not only carbon- and water-based, but they are humanoid, and many can even breed with humans. This panel introduces real evolutionary concepts from Earth and applies them to testing 3 theories raised in various Trek episodes about why so many aliens may be humanoid.",Presentation,STEM,,39,Mohamed Noor,,,,,,,,,
