id,name.0,name.1,name.2,name.3,prog.0,prog.1,prog.2,prog.3,prog.4,prog.5,prog.6,prog.7,prog.8,links.img,bio,76
1,Alan,Anderson,,,2,,,,,,,,,,Alan is a fluent Klingon speaker and translator who has previously presented at constructed languages classes at Indiana University.,
2,Alton,Jackson,,,101,,,,,,,,,,"Alton Jackson moved to Indiana from Texas to transition from ENRON. He studied computer science and mathematics at Austin College in Sherman, Texas. Upon graduation he was a recipient of the Thomas J. Watson Fellowship, traveling overseas for one year. Returning from southern Africa he began his career working as a software engineer at NASA (United Space Alliance). Alton is a technologist with a passion for sustainable humanitarian relief. In his free time he enjoys spending time with his family, fishing and karaoke.",
3,Ann,Burton,,,12,91,,,,,,,,,"Ann Yvette Burton MD is an Integrative and Internal Medicine Physician with an emphasis on energy, naturopathic, and homeopathic medicine. She specializes in immune system and detoxification treatments, as well as, nutrition and natural therapies including Autism, Cancer, Diabetes/Thyroid Endocrine Dysfunction, Cardiovascular Disease, and Pain management. Dr. Burton has been a Star Trek lecturer and aficionado for over 40 years.",
4,Beth Ann,Broadhurst,,,15,18,43,61,70,92,,,,,"Beth Ann Broadhurst has successfully developed, over the last 10 years, a core-based teaching style and the corresponding curricula to encourage self sustainability through experiences and projects that are nature and ecology based. Her current class offerings are Indianapolis-based and are offered to people from pre-school age to adult at local parks, libraries and as a guest presenter at conventions and workshops. She has conducted costuming and creative thinking workshops previously at SBI as well as Gen Con. Her joy is found in teaching others, hanging out with her three adorable grandkids in Michigan, and playing in her garden.
",
5,Bill,Hedrick,,,103,,,,,,,,,,"Admiral Qob! is the head of the Klingon Assault Group, A Master level costumer specializing in SPFX Makeup. Also a Black Belt in Haidong Gumdo.",
56,Blue Moon Comics,,,,23,81,35,,,,,,,,,
6,Brad,Handley,,,55,,,,,,,,,,,
7,Bruce,Nelson,,,93,,,,,,,,,,"Teacher and self professed geek, Bruce Nelson, has been working with kids for almost 30 years, currently as the Robotics & Design Teacher (yes, it is a real job & yes, it is awesome) for grades 1-6 at Indian Creek Elementary in Lawrence Township. When not teaching he can be found reading comic books, geocaching, drawing something for his (still on hiatus) comic strip ""My Geek Odyssey, or petting his cat.",
65,Candi,Watkins,,,122,,,,,,,,,,Hello! My name is Candi Watkins and I'm excited to be a part of Starbase Indy Science presentation team. I love working with young people.  I've been a kindergarten teacher for four years now and I enjoy my my job. Making catapults with my students was so much fun I just want to share it with everyone!,
68,Capricon,,,,90,,,,,,,,,,,
